songid,song_title,song_singer,song_album,song_position,song_dig,song_country,song_year,song_bpm,song_duration,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity
7HB3OUMUrZDdS0XnQ9h8Wr,Gulliver,Kang Seung Yoon,Street Man Fighter (SMF) Original Vol.2 (OST),1,1,Brunei Darussalam,2022,126,183636,K-Pop,0.635,0.736,9,-4.887,1,0.0411,0.0811,0,0.232,0.407,125.988,32
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,÷,2,1,Brunei Darussalam,2017,96,233713,Pop,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,86
7BKLCZ1jbUBVqRi2FVlTVw,Closer (feat. Halsey),The Chainsmokers,Collage,3,1,Brunei Darussalam,2016,95,244960,Electropop,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,84
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,÷,4,1,Brunei Darussalam,2017,95,263400,Pop,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,86
2JzZzZUQj3Qff7wapcbKjc,See You Again (feat. Charlie Puth),Wiz Khalifa,Furious 7: Original Motion Picture Soundtrack and Nine Track Mind (International Bonus Tracks),5,1,Brunei Darussalam,2015,80,229526,Pop Rap,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03E-06,0.0649,0.283,80.025,81
3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,Love in the Future,6,1,Brunei Darussalam,2013,120,183636,RnB/Soul,0.635,0.736,9,-4.887,1,0.0411,0.0811,0,0.232,0.407,125.988,85
7EyhPjrJzjx0fk2i7vUJCS,Pink Venom,BLACKPINK,Born Pink,7,1,Brunei Darussalam,2022,90,186964,K-Pop,0.794,0.719,0,-7.227,1,0.0761,0.0119,0,0.276,0.69,90.016,86
1vnnXMrBeEWiRg3YCMCjQq,Despacito (feat. Justin Bieber) [Remix],Luis Fonsi and Daddy Yankee,Vida,8,1,Brunei Darussalam,2017,89,228827,Reggaeton,0.653,0.816,2,-4.353,1,0.167,0.228,0,0.0967,0.816,178.085,73
06KyNuuMOX1ROXRhj787tj,We Don’t Talk Anymore (feat. Selena Gomez),Charlie Puth,Nine Track Mind,9,1,Brunei Darussalam,2016,100,217707,Pop,0.728,0.563,1,-8.053,0,0.134,0.621,0,0.179,0.352,100.017,69
0Cy7wt6IlRfBPHXXjmZbcP,Love Me Like You Do,Ellie Goulding,Fifty Shades of Grey: Original Motion Picture Soundtrack,10,1,Brunei Darussalam,2015,95,253520,Electropop,0.489,0.597,5,-6.633,0,0.0292,0.27,0,0.105,0.324,95.012,79
1Yk0cQdMLx5RzzFTYwmuld,Hello,Adele,25,11,1,Brunei Darussalam,2015,79,295502,RnB/Soul,0.578,0.43,5,-6.134,0,0.0305,0.33,0,0.0854,0.288,78.991,72
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,Back from the Edge,12,1,Brunei Darussalam,2016,85,211467,Pop,0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,85
1JxoK0EU5SHupbXjSwYaN7,Cinta Luar Biasa,Andmesh,Cinta Luar Biasa,13,1,Brunei Darussalam,2019,136,255563,Pop,0.581,0.232,9,-11.863,1,0.0309,0.812,0,0.1,0.317,135.889,60
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,The Chainsmokers and Coldplay,Memories...Do Not Open and Kaleidoscope EP,14,1,Brunei Darussalam,2017,103,247160,Electropop,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44E-05,0.164,0.446,103.019,84
3Rd26vmVdjxcSxWrYqsHzx,Senyum,Aziz Harun,Senyum (Single),15,1,Brunei Darussalam,2014,103,217602,Pop,0.741,0.749,10,-6.086,1,0.0333,0.24,0,0.0801,0.785,102.995,38
37R0bQOQj5a7DOqh1TGzvB,One Call Away,Charlie Puth,Nine Track Mind,16,1,Brunei Darussalam,2016,91,194453,Pop,0.667,0.613,1,-5.353,1,0.0344,0.403,0,0.115,0.47,91.024,66
3Txcx4jhuiTZSvhAL0WaRc,Crush (feat. Usher),Yuna,Chapters,17,1,Brunei Darussalam,2016,130,247160,RnB/Soul,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44E-05,0.164,0.446,103.019,58
5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul and Anne-Marie),Clean Bandit,What Is Love? And Speak Your Mind,18,1,Brunei Darussalam,2016,102,251088,Electropop,0.72,0.763,9,-4.068,0,0.0523,0.406,0,0.18,0.742,101.965,75
0TK2YIli7K1leLovkQiNik,Señorita,Shawn Mendes and Camila Cabello,Shawn Mendes and Romance,19,1,Brunei Darussalam,2019,117,190960,Pop,0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,81
1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,1989,20,1,Brunei Darussalam,2014,96,231827,Pop,0.76,0.703,5,-5.412,1,0.054,0.103,0,0.0913,0.57,95.997,75
0azC730Exh71aQlOt9Zj3y,This Is What You Came For,Calvin Harris and Rihanna,This Is What You Came For (Single),21,1,Brunei Darussalam,2016,124,222160,EDM,0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,81
1kTrfxvXJotKftwXgWu1tG,Beautiful,Aziz Harun,Beautiful (Single),22,1,Brunei Darussalam,2015,90,219811,Pop,0.708,0.733,2,-4.753,1,0.038,0.126,0,0.276,0.752,89.982,36
5cF0dROlMOK5uNZtivgu50,Attention,Charlie Puth,Voicenotes,23,1,Brunei Darussalam,2018,100,208787,Pop,0.775,0.613,3,-4.586,0,0.0542,0.109,2.33E-05,0.134,0.797,100.066,82
23pbkFDEBcmsaGkDqW2iDC,Setia (feat. Faizal Tahir),Elizabeth Tan,Setia (feat. Faizal Tahir) (Single),24,1,Brunei Darussalam,2015,144,222215,Pop,0.495,0.446,3,-6.889,1,0.0285,0.561,3.04E-06,0.142,0.345,143.979,42
