singerid,song_singer,singer_origin,singer_based_from
027TpXKGwdXP7iwbjUSpV8,The Walters,Foreign Artist(s),USA
02Tq76MwpeoRu3BHIAiaio,Yura Yunita,ASEAN Country Artist(s),Indonesia
04gDigrS5kc9YWfZHwBETP,Maroon 5,Foreign Artist(s),USA
04u9Lo4CoABvtW1huuy8iT,David Guetta and Bebe Rexha,Foreign Artist(s),Others
05CRzFTp7TouOXPuH6Tapu,Isyana Sarasvati,ASEAN Country Artist(s),Indonesia
06HL4z0CvFAxyc27GXpf02,Taylor Swift,Foreign Artist(s),USA
0AvGycOEDZTaBFLCaiGd9S,YOUNGOHM,ASEAN Country Artist(s),Thailand
0b1sIQumIAsNbqAoIClSpy,j-hope,Foreign Artist(s),South Korea
0CIHy5rV9yWHNaYa8U3KLk,Faizal Tahir,ASEAN Country Artist(s),Malaysia
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,Foreign Artist(s),USA
0fTav4sBLmYOAzKuJw0grL,Mac Ayres ,Foreign Artist(s),USA
0ghlgldX5Dd6720Q3qFyQB,TOMORROW X TOGETHER,Foreign Artist(s),South Korea
0GxxkBLH2uLa4b3URWudGb,Brisia Jodie and Stevan Pasaribu,ASEAN Country Artist(s),Indonesia
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,Foreign Artist(s),USA
0hEurMDQu99nJRq8pTxO14,John Mayer,Foreign Artist(s),USA
0J7LNTkImjkEg3zG2sxMzq,Santhosh Narayanan and Anirudh Ravichander,Foreign Artist(s),India
0kgeVyYH8jb0JTls7z7cIH,Miles Guo,Foreign Artist(s),China
0LyOADBjj28cbvJWTXUEGA,Loren Allred,Foreign Artist(s),USA
0MlOPi3zIDMVrfA9R04Fe3,American Authors,Foreign Artist(s),USA
0QGDb8TBWIT06W4BoyAggg,Finding Hope,Foreign Artist(s),USA
0qQI2kmsvSe2ex9k94T5vu,JAEHYUN,Foreign Artist(s),South Korea
0r63ReVRjxrS4ATbLrdcrL,Hoàng Thùy Linh,ASEAN Country Artist(s),Vietnam
0RqtSIYZmd4fiBKVFqyIqD,Thirty Seconds to Mars,Foreign Artist(s),USA
0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,ASEAN Country Artist(s),Philippines
0Sadg1vgvaPqGTOjxu0N6c,Girls' Generation,Foreign Artist(s),South Korea
0u4G1K1CSzcp5PZ6G6FIGu,Darren Espanto,ASEAN Country Artist(s),Philippines
0uUNzXylqsZdmFDwdxaP1V,B.J. Thomas ,Foreign Artist(s),USA
0v3cIqT5jtOSGxotzz8kcZ,Amirchik,Foreign Artist(s),Russia
0wr5d9DqR1Y6fGLC7ZjSb7,Luciano CDs,Foreign Artist(s),Jamaica
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,Foreign Artist(s),UK
0xcp2z2Khjarjqbtj0C1VO,Colorpitch,ASEAN Country Artist(s),Thailand
0XEDmKFD6M4WQxCdxQ1Kvt,Koh Niphon,ASEAN Country Artist(s),Thailand
0YpfUFtmzwNGWjowRwoGel,Soegi Bornean,ASEAN Country Artist(s),Indonesia
0z4gvV4rjIZ9wHck67ucSV,Akon,Foreign Artist(s),USA
0ZA1WFhcNsu9ATEHWRQwOk,Macc Dundee,Foreign Artist(s),USA
0zC9t5gbJ87wjTxX8Fq3Mr,DJ Jonel Sagayno Remix,Foreign Artist(s),Philippines
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,Foreign Artist(s),USA
17bFKNQu8Ov9bwgUzMygRH,Elizabeth Tan,ASEAN Country Artist(s),Malaysia
18veyTkB9uyo37bqh2YGTm,Azlan and The Typewriter,ASEAN Country Artist(s),Malaysia
19IYWJFjZPv3INWYpkavTc,bonnadol,ASEAN Country Artist(s),Thailand
1AhjOkOLkbHUfcHDSErXQs,88rising and MILLI,Foreign Artist(s),Others
1bTgKomQYSkKYPD9UI9W4b,"Imagine Dragons, JID and League of Legends",Foreign Artist(s),USA
1C6qssOWal7Sii2guMg0mx,Pop Pongkool,ASEAN Country Artist(s),Thailand
1CWwyDPjCowRTO4p6A7r6g,My Tam,ASEAN Country Artist(s),Vietnam
1dmaHHd1Xbd85cT1egYb4w,Truc Nhan,ASEAN Country Artist(s),Vietnam
1dmuM6bG5J8sDFyp26x9Nf,Aziz Harun,ASEAN Country Artist(s),Brunei Darussalam
1Do4bSzfUl0KWL9r1fITu0,YOON MI RAE and BIBI,Foreign Artist(s),South Korea
1HFGr4unVP8uhxKllkfTqN,White Noise for Baby,Foreign Artist(s),Others
1Hkca2GVHHhUcs8K9Zs5Ju,Vote For 5ive,ASEAN Country Artist(s),Vietnam
1hPyJFbjHuyBZZSFkMEGmj,Farel Prayoga,ASEAN Country Artist(s),Indonesia
1HvVjPpCzFFgIo2XrDxM2x,Sudirman,ASEAN Country Artist(s),Malaysia
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,Foreign Artist(s),USA
1jG6zrzssLdWlKvGfl0FhY,Govinda and Ernie Zakri,ASEAN Country Artist(s),Others
1KCSPY1glIKqW2TotWuXOR,P!nk,Foreign Artist(s),USA
1kfWoWgCugPkyxQP8lkRlY,Jackson Wang,Foreign Artist(s),Hong Kong
1MHbTunyZHtuicaJ1eQ5ed,"Joe Flizzow, Altimet, SonaOne and Faizal Tahir",ASEAN Country Artist(s),Malaysia
1n9JKdEdLxrbgJiqz1WZFJ,Tang Duy Tan,ASEAN Country Artist(s),Vietnam
1OIYKbmhG0RxPXvVPNj3NN,Madihu and Vu.,ASEAN Country Artist(s),Vietnam
1pCA38N6MkLlthXtAOvZTU,Maroon 5 and Megan Thee Stallion,Foreign Artist(s),USA
1rXKn49vXSPmG8pnEA5Smf,Marshmello and Jonas Brothers,Foreign Artist(s),USA
1Twi7NfmUzbXF7lEMaGCqF,Ink Waruntorn,ASEAN Country Artist(s),Thailand
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,Foreign Artist(s),Canada
1vCWHaC5f2uS3yhpwWbIA6,Avicii,Foreign Artist(s),Sweden
1W7FNibLa0O0b572tB2w7t,Pink Sweat$,Foreign Artist(s),USA
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,Foreign Artist(s),USA
1zDTmTmhhoRRwse77nyn6J,Eminem and Snoop Dogg,Foreign Artist(s),USA
1ZeVIrCWzEmsJexkrgvjFv,Hebe Tien,Foreign Artist(s),Taiwan
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,Foreign Artist(s),Canada
246dkjvS1zLTtiykXe5h60,Post Malone,Foreign Artist(s),USA
25u4wHJWxCA9vO0CzxAbK7,Lukas Graham,Foreign Artist(s),Denmark
26VFTg2z8YR0cCuwLzESi2,Halsey,Foreign Artist(s),USA
27hovVxPcg5Dm46SKgukze,Coldplay X BTS,Foreign Artist(s),Others
28DdkLhrzQNizZ0ExQpyku,Rizky Febian,ASEAN Country Artist(s),Indonesia
28Lweu3ttQ8hUHd7sBABSu,Blasterjaxx and Timmy Trumpet ,Foreign Artist(s),Others
2a727ekkPaUHk0bMifk7fj,Billkin,ASEAN Country Artist(s),Thailand
2bZhboVm5VoIkmnKUAtIRR,IDIOTS,ASEAN Country Artist(s),Myanmar
2dd5mrQZvg6SmahdgVKDzh,PSY,Foreign Artist(s),South Korea
2gsggkzM5R49q6jpPvazou,Jessie J,Foreign Artist(s),UK
2iDVt6mFbtbDEZG5ax0dTi,Tulus,ASEAN Country Artist(s),Indonesia
2Ip3x4XtEEhlGg8qI146jL,Kang Seung Yoon,Foreign Artist(s),South Korea
2jHp7gQArCQrlMvdrIVFCg,Anson Seabra,Foreign Artist(s),USA
2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,Foreign Artist(s),USA
2kxP07DLgs4xlWz8YHlvfh,NIKI ,ASEAN Country Artist(s),Indonesia
2LcT0CeIpLAOuYL86PFK6o,Marshmello and Khalid,Foreign Artist(s),USA
2LkkwxA19J8C52wPQl5bG6,Jamie Miller,Foreign Artist(s),UK
2mH3ogcSb4oHHCPf6KfrpF,Duong Edward and Vu Khac Anh,ASEAN Country Artist(s),Vietnam
2MnMuRYL9qsGvWPsZGeDGQ,F.HERO and YOUNGJAE,Foreign Artist(s),Others
2p48L95TwEaYkSdn6R7LOr,BamBam,ASEAN Country Artist(s),Thailand
2p9gK2BcdrloHNJwarc9gc,Powfu and beabadoobee,Foreign Artist(s),Others
2qKwIfU7WcEuTa69UhnE3J,Nhat Hào,ASEAN Country Artist(s),Vietnam
2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,Foreign Artist(s),USA
2SWWw5uB9cO5m7zJQZqwmr,BOWKYLION,ASEAN Country Artist(s),Thailand
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,Foreign Artist(s),Australia
2vVT4qoxWje0gVD2FiWZ4u,Jeff Bernat ,ASEAN Country Artist(s),Philippines
2wY79sveU1sp5g7SokKOiI,Sam Smith,Foreign Artist(s),UK
2wZWkw5jo8P4NVonVanxYd,Ziva Magnolya ,ASEAN Country Artist(s),Indonesia
2Xlia1jlI7JDki4Xa42uyK,"Pham Nguyen Ngoc, An Nhi and Vanh",ASEAN Country Artist(s),Vietnam
2XSiI78ghU1qQTsZ5UWRgN,Tennebreck,Foreign Artist(s),Romania
31TPClRtHm23RisEBtV3X7,Justin Timberlake,Foreign Artist(s),USA
335NA7iC8OHVYB9T1WQQb7,Vilmark,ASEAN Country Artist(s),Philippines
37i9dQZF1DZ06evO2T8208,Luis Fonsi,Foreign Artist(s),Puerto Rico
3e7awlrlDSwF3iM0WBjGMp,Little Mix,Foreign Artist(s),UK
3eVa5w3URK5duf6eyVDbu9,ROSÉ,Foreign Artist(s),South Korea
3Gr3opnAGpJiTowsTyJFWG,Denny Caknan,ASEAN Country Artist(s),Indonesia
3hv9jJF3adDNsBSIQDqcjp,Mark Ronson,Foreign Artist(s),UK
3IjHX8KZKoeq3X4QgXxqbT,JAY B,Foreign Artist(s),South Korea
3iri9nBFs9e4wN7PLIetAw,gnash,Foreign Artist(s),USA
3jOstUTkEu2JkjvRdBA5Gu,Weezer,Foreign Artist(s),UK
3JsHnjpbhX4SnySpvpa9DK,V,Foreign Artist(s),South Korea
3kHVioJpVxlazAAKQ64pC1,Yuna,ASEAN Country Artist(s),Malaysia
3KonOYiLsU53m4yT7gNotP,TREASURE,Foreign Artist(s),South Korea
3lFMRWaEWZlfXdBig97kks,Nik Makino,ASEAN Country Artist(s),Philippines
3lZ0sW4znNieFHxGdyWXCj,MONO and Onionn,ASEAN Country Artist(s),Vietnam
3MZsBdqDrRTJihTHQrO6Dq,Joji,Foreign Artist(s),Japan
3NCb8wsOXH5po5sOiHDQsZ,Dhanush and Anirudh Ravichander,Foreign Artist(s),India
3NckpPMWZSEus6PyV6LoVc,Huong Ly,ASEAN Country Artist(s),Vietnam
3Nrfpe0tUJi4K4DXYWgMUX,BTS,Foreign Artist(s),South Korea
3q7Fuv1HpyqegV9YpMXCp7,Dieu Kiên,ASEAN Country Artist(s),Vietnam
3q7HBObVc0L8jNeTe5Gofh,50 Cent,Foreign Artist(s),USA
3tn88amcWjPBBqOk2Fjk1S,Ezah Hashim,ASEAN Country Artist(s),Brunei Darussalam
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,Foreign Artist(s),Australia
3whuHq0yGx60atvA2RCVRW,Olly Murs,Foreign Artist(s),UK
3wOsYKZM0zcKNasi3I7fP4,Mahalini,ASEAN Country Artist(s),Indonesia
3ytV7vc4ZuwGgwaOuWvkk8,MINO,Foreign Artist(s),South Korea
404KewdffM9yR8Ypz6vhCH,"DoubleBam, JIXGO and Sarah Salola",ASEAN Country Artist(s),Thailand
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,Foreign Artist(s),South Korea
43WmKGHvF7UA8gCFUnVkrj,Dane Amar and Jereena Montemayor,Foreign Artist(s),USA
44f1TNdoQUgf3PUYraCTsH,JENNIE (from BLACKPINK),Foreign Artist(s),South Korea
46pWGuE3dSwY3bMMXGBvVS,Rema and Selena Gomez ,Foreign Artist(s),Others
46xBNx0j6cwY6sD9LgMTm1,Rosa Linn,Foreign Artist(s),Armenia
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,Foreign Artist(s),UK
4bAgr9zaF0bpzVGHdHuf0f,Virgoun,ASEAN Country Artist(s),Indonesia
4DAcJXcjX0zlQAZAPAx4Zb,BenandBen,ASEAN Country Artist(s),Philippines
4dpARuHxo51G3z768sgnrY,Adele,Foreign Artist(s),UK
4EiSzlOeMnJcp2U8ayCQ3a,Keisya Levronka,ASEAN Country Artist(s),Indonesia
4F5TrtYYxsVM1PhbtISE5m,Beyond,Foreign Artist(s),Hong Kong
4fRYiZSxO93svuH41o70Yd,Roh Young Sim,Foreign Artist(s),South Korea
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,Foreign Artist(s),UK
4IWBUUAFIplrNtaOHcJPRM,James Arthur,Foreign Artist(s),UK
4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,ASEAN Country Artist(s),Philippines
4kBxlgszc29didRvY9xWVV,KSHMR and Tungevaag,Foreign Artist(s),Others
4Kxlr1PRlDKEB0ekOCyHgX,BIGBANG,Foreign Artist(s),South Korea
4l1q0z9xeJcJw73Gxc6gCB,Mark Tuan,Foreign Artist(s),USA
4Ly0KABsxlx4fNj63zJTrF,Seafret,Foreign Artist(s),UK
4oPYazJJ1o4rWBrTw9lm40,"""N/A""",ASEAN Country Artist(s),Thailand
4QQWpCEX4BxMXwRQmtkKY6,Elton John and Britney Spears,Foreign Artist(s),Others
4tw2Lmn9tTPUv7Gy7mVPI4,Kenny Rogers,Foreign Artist(s),USA
4Xc7y7CHJn51Toq1c77TXl,Charlie Puth and Jung Kook,Foreign Artist(s),Others
4XpUIb8uuNlIWVKmgKZXC0,ZICO,Foreign Artist(s),South Korea
4xzwjGxzfKglU0cNW4q4l1,YERI and SAM KIM,Foreign Artist(s),South Korea
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,Foreign Artist(s),UK
51sob9QZyfLff9XqvYluN5,Sezairi ,ASEAN Country Artist(s),Singapore
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,Foreign Artist(s),USA
540vIaP2JwjQb9dm3aArA4,DJ Snake,Foreign Artist(s),France
54nGORfHS6Uldjlr4QeN7g,Yuji and putri dahlia,ASEAN Country Artist(s),Malaysia
5505l53fTUi5P0uWQbRT0w,Indigo,ASEAN Country Artist(s),Thailand
56oDRnqbIiwx4mymNEv7dS,Lizzo,Foreign Artist(s),USA
57g2v7gJZepcwsuwssIfZs,Vu.,ASEAN Country Artist(s),Vietnam
57vWImR43h4CaDao012Ofp,Steve Lacy,Foreign Artist(s),USA
5CiGnKThu5ctn9pBxv7DGa,"benny blanco, BTS and Snoop Dogg",Foreign Artist(s),Others
5D8Rdb09BkmHscEGSWAlA6,Elton John and Dua Lipa,Foreign Artist(s),Others
5dfZ5uSmzR7VQK0udbAVpf,Son Tung M-TP,ASEAN Country Artist(s),Vietnam
